"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-01-31,2023,1,31,31,-3.9,23,-7.2,23,NA,0,NA,0,6.9,23,3.4,23,8.2,11.8,-3,"*",-5,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,77.8
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-01,2023,2,1,32,-0.1,24,-3.9,24,NA,0,NA,0,7.6,24,6.8,24,11.8,18,3,"*",-4,"*",NA,NA,NA,0,0,1,0,0,0,0.5,0.6,75.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-02,2023,2,2,33,-4.8,23,-7.3,23,NA,0,NA,0,3.7,23,6.3,23,12.9,17,-1,"*",-7,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.4,82.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-03,2023,2,3,34,-3.9,23,-7.1,23,NA,0,NA,0,8.5,23,2.1,23,6.2,NA,-3,"*",-6,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,78.4
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-04,2023,2,4,35,-2.9,24,-6.3,24,NA,0,NA,0,8.4,24,2.1,24,5.7,NA,0,"*",-6,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,77.4
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-05,2023,2,5,36,-1.2,23,-5.4,23,NA,0,NA,0,9.5,23,3.4,23,5.1,NA,1,"*",-4,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.6,73.1
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-06,2023,2,6,37,1.5,23,-3.7,23,NA,0,NA,0,10,23,1.7,23,4.6,NA,5,"*",-3,"*",NA,NA,NA,0,1,1,0,0,0,0.5,0.7,68.3
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-07,2023,2,7,38,0.1,24,-5.3,24,NA,0,NA,0,10,24,2.6,24,4.6,NA,4,"*",-3,"*",0,"I",NA,0,0,0,0,0,0,0.4,0.6,67
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-08,2023,2,8,39,-1.8,24,-6.7,24,NA,0,NA,0,8.4,24,4.3,24,10.8,12.9,0,"*",-4,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,69.2
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-09,2023,2,9,40,-4.4,24,-8.2,24,NA,0,NA,0,7.9,24,4.7,24,9.3,14.9,-3,"*",-6,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.4,74.8
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-10,2023,2,10,41,-1.2,24,-5.4,24,NA,0,NA,0,6,24,2.9,24,5.1,NA,1,"*",-4,"*",NA,NA,NA,0,1,1,0,0,0,0.4,0.6,73.1
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-11,2023,2,11,42,1.1,24,-0.8,24,NA,0,NA,0,9.2,24,2.3,24,6.2,NA,2,"*",0,"*",NA,NA,NA,0,1,1,0,0,0,0.6,0.7,87.1
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-12,2023,2,12,43,1.9,24,-0.7,24,NA,0,NA,0,8.7,24,3.2,24,8.2,NA,5,"*",0,"*",NA,NA,NA,1,1,1,0,0,0,0.6,0.7,82.9
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-13,2023,2,13,44,-1.8,24,-2.6,24,NA,0,NA,0,4.3,24,2.6,24,5.1,NA,0,"*",-6,"*",NA,NA,NA,1,0,1,0,0,0,0.5,0.5,94.3
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-14,2023,2,14,45,-4.3,24,-6.9,24,NA,0,NA,0,6.4,24,5.1,24,10.8,16,-2,"*",-9,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.4,82.1
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-15,2023,2,15,46,-5.3,24,-9.3,24,NA,0,NA,0,8,24,3,24,4.6,NA,-3,"*",-11,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.4,73.5
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-16,2023,2,16,47,-1.1,24,-7.5,24,NA,0,NA,0,10,24,4.4,24,10.8,16,0,"*",-3,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.6,61.8
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-17,2023,2,17,48,2.8,24,-4.4,24,NA,0,NA,0,10,24,3.1,24,5.1,NA,6,"*",0,"*",NA,NA,NA,0,1,0,0,0,0,0.4,0.7,59.1
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-18,2023,2,18,49,4.1,24,-2.9,24,NA,0,NA,0,9.2,24,2.6,24,6.7,NA,8,"*",1,"*",NA,NA,NA,0,1,0,0,0,0,0.5,0.8,60.3
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-19,2023,2,19,50,0.8,24,-0.7,24,NA,0,NA,0,3.1,24,4.4,24,17.5,22.7,3,"*",-3,"*",NA,NA,NA,0,1,1,0,0,0,0.6,0.6,89.7
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-20,2023,2,20,51,-3.4,24,-6.3,24,NA,0,NA,0,5.1,24,6.7,24,15.4,20.6,-1,"*",-7,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,80.3
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-21,2023,2,21,52,-3.8,24,-5.9,24,NA,0,NA,0,5.5,24,5.1,24,9.3,NA,-2,"*",-5,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,85.3
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-22,2023,2,22,53,-0.6,24,-6.4,24,NA,0,NA,0,10,24,4.3,24,10.8,NA,1,"*",-2,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.6,64.9
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-23,2023,2,23,54,2.6,24,-2.2,24,NA,0,NA,0,9.7,24,2.8,24,7.2,NA,6,"*",-1,"*",NA,NA,NA,0,1,0,0,0,0,0.5,0.7,70.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-24,2023,2,24,55,0.9,24,-1.4,24,NA,0,NA,0,7.7,24,3.1,24,7.7,NA,3,"*",-1,"*",NA,NA,NA,0,1,1,0,0,0,0.6,0.7,84.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-25,2023,2,25,56,-2.4,24,-5.6,24,NA,0,NA,0,6.9,24,5.8,24,10.3,14.4,1,"*",-5,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.5,78.7
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-26,2023,2,26,57,-3.2,24,-8.4,24,NA,0,NA,0,8.4,24,6.9,24,13.9,17,-1,"*",-5,"*",NA,NA,NA,0,0,1,0,0,0,0.3,0.5,67.3
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-27,2023,2,27,58,5.3,24,-4.1,24,NA,0,NA,0,10,24,6.5,24,10.3,16,7,"*",0,"*",0,"I",NA,0,0,0,0,0,0,0.5,0.9,50.7
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-02-28,2023,2,28,59,8.6,24,-0.2,24,NA,0,NA,0,10,24,6.7,24,9.8,14.9,11,"*",7,"*",0,"I",NA,0,0,0,0,0,0,0.6,1.1,54
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-01,2023,3,1,60,4.6,24,-0.2,24,NA,0,NA,0,6.1,24,2.6,24,7.7,NA,9,"*",0,"*",NA,NA,NA,0,1,1,0,0,0,0.6,0.8,71
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-02,2023,3,2,61,0.6,24,-3.7,24,NA,0,NA,0,9.3,24,4.1,24,6.7,NA,3,"*",-1,"*",NA,NA,NA,0,1,1,0,0,0,0.5,0.6,72.9
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-03,2023,3,3,62,1.3,18,-2.7,18,NA,0,NA,0,9.7,18,3.3,18,7.2,NA,3,"*",1,"*",NA,NA,NA,0,1,1,0,0,0,0.5,0.7,74.7
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-04,2023,3,4,63,0.7,24,-5.8,24,NA,0,NA,0,10,24,5.4,24,10.3,NA,4,"*",-4,"*",NA,NA,NA,0,0,1,0,0,0,0.4,0.6,61.8
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-05,2023,3,5,64,1.3,24,-5.3,24,NA,0,NA,0,10,24,2.8,24,5.7,NA,6,"*",-4,"*",0,"I",NA,0,0,0,0,0,0,0.4,0.7,61.5
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-06,2023,3,6,65,5.3,24,-3.9,24,NA,0,NA,0,10,24,3.3,24,7.7,NA,9,"*",3,"*",0,"I",NA,0,0,0,0,0,0,0.5,0.9,51.5
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-07,2023,3,7,66,9.1,24,1.6,24,NA,0,NA,0,10,24,5.2,24,9.3,15.4,12,"*",7,"*",0,"I",NA,0,0,0,0,0,0,0.7,1.2,59.4
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-08,2023,3,8,67,10.2,24,2.5,24,NA,0,NA,0,9.5,24,5.7,24,10.3,16.5,16,"*",5,"*",0,"I",NA,0,0,0,0,0,0,0.7,1.2,58.8
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-09,2023,3,9,68,6.2,24,3.9,24,NA,0,NA,0,5.1,24,3.8,24,8.2,NA,8,"*",4,"*",NA,NA,NA,0,1,0,0,0,0,0.8,0.9,85.2
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-10,2023,3,10,69,6.1,24,1.1,24,NA,0,NA,0,9.8,24,5.7,24,12.4,NA,12,"*",2,"*",NA,NA,NA,0,1,0,0,0,0,0.7,0.9,70.3
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-11,2023,3,11,70,5.8,24,-0.7,24,NA,0,NA,0,10,24,2.6,24,6.7,NA,11,"*",2,"*",0,"I",NA,0,0,0,0,0,0,0.6,0.9,63
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-12,2023,3,12,71,6.7,24,3.3,24,NA,0,NA,0,10,24,6.5,24,9.8,13.4,11,"*",6,"*",0,"I",NA,0,0,0,0,0,0,0.8,1,78.9
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-13,2023,3,13,72,4.8,24,-0.3,24,NA,0,NA,0,9.8,24,5,24,9.3,13.4,11,"*",1,"*",NA,NA,NA,0,1,0,0,0,0,0.6,0.9,69.5
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-14,2023,3,14,73,2.7,24,-6.8,24,NA,0,NA,0,10,24,3.5,24,7.7,NA,8,"*",-1,"*",0,"I",NA,0,0,0,0,0,0,0.4,0.7,49.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-15,2023,3,15,74,4.2,24,-1.3,24,NA,0,NA,0,10,24,4,24,8.2,NA,8,"*",-1,"*",0,"I",NA,0,0,0,0,0,0,0.6,0.8,67.4
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-16,2023,3,16,75,6.2,24,-0.5,24,NA,0,NA,0,10,24,4.7,24,8.8,13.4,15,"*",1,"*",NA,NA,NA,0,1,0,0,0,0,0.6,0.9,62.2
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-17,2023,3,17,76,4.7,24,-5.1,24,NA,0,NA,0,10,24,3.7,24,9.3,16,9,"*",2,"*",NA,NA,NA,0,1,1,0,0,0,0.4,0.9,49.1
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-18,2023,3,18,77,3.6,24,-5.2,24,NA,0,NA,0,10,24,3,24,6.2,NA,7,"*",0,"*",0,"I",NA,0,0,0,0,0,0,0.4,0.8,52.6
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-19,2023,3,19,78,8.2,24,-4.2,24,NA,0,NA,0,10,24,5.8,24,10.8,16,12,"*",5,"*",0,"I",NA,0,0,0,0,0,0,0.4,1.1,41.3
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-20,2023,3,20,79,8.8,24,-1,24,NA,0,NA,0,10,24,3.3,24,9.3,9.8,16,"*",1,"*",0,"I",NA,0,0,0,0,0,0,0.6,1.1,50.2
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-21,2023,3,21,80,7.7,24,2.1,24,NA,0,NA,0,10,24,2.7,24,7.2,NA,13,"*",2,"*",0,"I",NA,0,0,0,0,0,0,0.7,1,67.7
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-22,2023,3,22,81,8.9,24,3.8,24,NA,0,NA,0,8.2,24,2.4,24,5.7,NA,17,"*",3,"*",0,"I",NA,0,0,0,0,0,0,0.8,1.1,70.4
"475800-44402","MISAWA NAVAL AIR STATION","JA","JAPAN","JP","JPN","",40.703,141.368,36.3,20050101,20240909,2023-03-23,2023,3,23,82,15.2,24,9.7,24,NA,0,NA,0,8.5,24,4.7,24,9.3,14.4,22,"*",9,"*",NA,NA,NA,1,1,0,0,0,0,1.2,1.7,69.7
